param_id,param_name,param_describe,default_value,value_type,run_value,log_id
0,class_num_ratio,The proportion of the number of categories in each batch.,0.1,,0.1,0
1,feat_dim,The feature dimension.,768.0,,768.0,0
2,warmup_step,The warmup step for learning rate.,500.0,,500.0,0
3,p_mult,Anti-disturbance coefficient.,0.03,,0.03,0
4,lambda_V,Virtual confrontation loss coefficient.,1.0,,1.0,0
5,drop_out,Dropout probability.,0.2,,0.2,0
6,alpha_rank,Maximum boundary of L2 Euclidean distance.,1.2,,1.2,0
7,margin,Positive and negative sample spacing.,0.4,,0.4,0
8,loop_nums,Number of outer loops.,4.0,,4.0,0
9,batch_num,Number of inner loops.,1000.0,,1000.0,0
10,val_step,Number of val loops.,500.0,,500.0,0
11,eval_batch_size,Batch size during evaluation.,1.0,,1.0,0
12,inclass_augment,In-class enhancement strategy.,0.0,,0.0,0
13,squared,Whether to square the Euclidean distance.,0.0,,0.0,0
14,pos_emb_dim,Position embedding dimension.,10.0,,10.0,0
15,vat,Virtual adversarial training.,0.0,,0.0,0
16,temp_neg,Temperature parameter.,10.0,,10.0,0
17,embedding_dim,Sentence embedding dimension.,64.0,,64.0,0
18,freeze_bert_parameters,Whether to freeze all parameters but the last layer.,1.0,,1.0,0
19,learning_rate,Learning rate of CNN model.,0.0003,,0.0003,0
20,use_sample,Does the training set require a sampling strategy?,1.0,,1.0,0
21,class_num_ratio,The proportion of the number of categories in each batch.,0.1,,0.1,0
22,feat_dim,The feature dimension.,768.0,,768.0,0
23,warmup_step,The warmup step for learning rate.,500.0,,500.0,0
24,p_mult,Anti-disturbance coefficient.,0.03,,0.03,0
25,lambda_V,Virtual confrontation loss coefficient.,1.0,,1.0,0
26,drop_out,Dropout probability.,0.2,,0.2,0
27,alpha_rank,Maximum boundary of L2 Euclidean distance.,1.2,,1.2,0
28,margin,Positive and negative sample spacing.,0.4,,0.4,0
29,loop_nums,Number of outer loops.,4.0,,4.0,0
30,batch_num,Number of inner loops.,1000.0,,1000.0,0
31,val_step,Number of val loops.,500.0,,500.0,0
32,eval_batch_size,Batch size during evaluation.,1.0,,1.0,0
33,inclass_augment,In-class enhancement strategy.,0.0,,0.0,0
34,squared,Whether to square the Euclidean distance.,0.0,,0.0,0
35,pos_emb_dim,Position embedding dimension.,10.0,,10.0,0
36,vat,Virtual adversarial training.,0.0,,0.0,0
37,temp_neg,Temperature parameter.,10.0,,10.0,0
38,embedding_dim,Sentence embedding dimension.,64.0,,64.0,0
39,freeze_bert_parameters,Whether to freeze all parameters but the last layer.,1.0,,1.0,0
40,learning_rate,Learning rate of CNN model.,0.0003,,0.0003,0
41,use_sample,Does the training set require a sampling strategy?,1.0,,1.0,0
42,class_num_ratio,The proportion of the number of categories in each batch.,0.1,,0.1,1
43,feat_dim,The feature dimension.,768.0,,768.0,1
44,warmup_step,The warmup step for learning rate.,500.0,,500.0,1
45,p_mult,Anti-disturbance coefficient.,0.03,,0.03,1
46,lambda_V,Virtual confrontation loss coefficient.,1.0,,1.0,1
47,drop_out,Dropout probability.,0.2,,0.2,1
48,alpha_rank,Maximum boundary of L2 Euclidean distance.,1.2,,1.2,1
49,margin,Positive and negative sample spacing.,0.4,,0.4,1
50,loop_nums,Number of outer loops.,4.0,,4.0,1
51,batch_num,Number of inner loops.,1000.0,,1000.0,1
